"Year","State","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54"
2010,"Alabama",1.26267844725606,1.26267844725606,1.26267844725606,2.87804413964429,3.81041848053081,3.73924494822789,4.12591387278099,4.31706030870754,4.3800112476451,5.33909107750266,6.10831063730135,6.38454593246497,6.09788341451397,5.85811863013893,6.177076684,6.25746232927064,6.44202153518696,6.2894067440061,6.04006331677218,6.00814221837979,5.6413427784217,5.21490810233528,4.97231947316449,4.25994444902626,3.94303899787933,3.20775156306765,3.49526679203035,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.77066207608422,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606,1.26267844725606
2010,"Alaska",0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,1.4413632868325,0.755544348135594,0.755544348135594,0.755544348135594,1.46225272613317,1.25728054884569,2.1427367120521,2.5495494779854,2.5283924492275,4.05225264189563,4.26477846923017,4.08050983721879,5.11342981560518,4.29886019008532,5.30295033774376,4.86640608331953,5.52129579222976,5.10373423637042,4.61932077054118,4.73563295432233,3.85041685907406,3.63359261719253,2.80933560877489,2.67639213093884,0.755544348135594,2.3425277454864,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,NA,NA,0.755544348135594,0.755544348135594,0.755544348135594,0.755544348135594,1.9850940758177,0.755544348135594,0.755544348135594
2010,"Arizona",0.522834724985446,1.56540468826385,0.534458172247867,1.39724869274606,0.569134738628834,1.24124934610992,0.46382363485778,2.69359637940657,2.95197651099168,4.43567013921522,4.63136206046494,4.80475154834232,4.54013999306642,4.62320307076239,4.75479356675936,4.99715487617096,4.98320414346456,4.93158604777653,5.12342103203401,5.11321577864606,4.83834484429893,4.21983309781841,4.14811953868776,3.47388185612362,1.75276864084924,3.23088845544147,2.43900002646576,1.73442789157259,-0.225112112660283,0.120483785346488,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.124132851886171,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.225112112660283,0.0623321513929853,0.432548356784549,-0.225112112660283,-0.225112112660283,-0.225112112660283,-0.00669618951900833,0.744483358028003
2010,"Arkansas",-0.684628368891122,1.21514565492396,-0.684628368891122,1.01488478658159,1.85799130589733,2.53434745938464,1.82752550389679,2.42165657824265,2.33425423970698,1.62986779394561,3.33457485226487,4.02886271273466,4.10494093846841,3.83371821370345,4.96540064478592,5.40817650690312,5.76502513885685,5.70385810912918,5.6914152089811,5.43992766748165,5.14525480550475,5.03762718911456,4.24031890673521,3.82785778084689,2.57223728969669,2.37285365044754,-0.684628368891122,0.0924811819607777,1.72782184840261,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,-0.684628368891122,NA,-0.684628368891122,NA,-0.684628368891122,NA,-0.684628368891122,1.28157426534946,-0.684628368891122,-0.684628368891122,-0.684628368891122,NA,-0.684628368891122
2010,"California",1.85778338661818,0.973718456113469,1.86155991898032,1.23322744380982,2.04396663223604,2.20089447944454,2.59053087317189,2.14053085551021,2.5451277313695,2.83274751792901,2.96511532166953,3.93480010459351,3.86771368725708,3.64990481468203,4.37345068486376,4.13576800303727,4.78254544080815,4.76552218213071,4.74700002184047,4.97110521885546,4.81291527355248,4.65651245742625,4.59423544805523,4.29777512302263,3.76257618707756,3.03032691831849,2.3369000715304,2.13250001222687,1.48030833757915,1.74401048284487,0.262545940271135,0.41809475068828,1.05756370597869,0.262545940271135,0.884556485068054,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.81801157301011,0.374748135446104,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135,0.262545940271135
2010,"Colorado",-0.650201950500418,-0.225209847133807,-0.648914050583128,0.520499064803563,0.17831115085542,0.528788559867576,0.305469729882522,1.39899668641374,1.36104222021024,1.458258270699,2.0802183498862,2.46971454358636,3.05408608373406,2.66846948032729,2.63940434796885,2.81564505077569,3.502338220995,4.03574394125417,3.98743521069998,4.2510372583864,4.0372096775171,3.66466122598546,3.20182758189038,2.98957402037739,2.54367420715068,1.83431862281341,1.28471461157241,1.01256716470563,-0.0620149560082468,-0.650201950500418,-0.650201950500418,0.11696312628921,0.261471658520999,-0.650201950500418,-0.325557855762133,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.650201950500418,-0.546945046894406
2010,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Delaware",-0.915041512473723,-0.683368151506806,-0.947836225029851,-2.37708085263531,-2.37708085263531,-0.281134223149492,-0.732343060421575,-2.37708085263531,0.406283306625781,-0.243718113475458,0.404731639185587,1.74896396612014,1.48796468137417,2.69939006883811,4.25413653144115,4.50682390298333,4.52991892298793,4.92005036867239,4.80206960092113,4.93603932596879,4.76282301896884,4.25012344580592,3.95218284669331,3.22575551662591,2.56007961796541,2.73753463164621,2.01010747225935,-0.20542593928972,-1.63378921327795,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531,-2.37708085263531
2010,"District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Florida",1.9253908099826,2.48466169645605,2.62961790307825,2.73679791722076,3.23535646989798,3.39591903567159,3.3129207937215,3.71785530491891,3.58746105808217,3.58193543259443,4.12295692158221,4.85056336824153,4.59541639504969,4.27860304058289,4.37289622404424,4.61546705876887,4.71280891055614,4.71813760961938,4.47946358311983,4.15988611140881,3.90095621174223,3.4055833824165,3.01206516277486,2.46362338438802,2.41337906863694,2.2261004279728,1.08517784935185,1.68296045611515,0.967811830312392,1.91619512704067,1.28388908554645,-0.618808463601282,-0.394425454940459,0.49305208607443,0.203407347411948,-0.335461547539535,0.984509873709505,-0.618808463601282,0.157005800089612,-0.618808463601282,1.29533551675909,-0.618808463601282,0.247049466246427,1.38934108264673,1.68743710894485,1.90575043517881,1.59140701645466,2.08437072327901,1.53792678709158,2.10001334612263,1.40162007019124,2.42275886855299
