"PopDensity","Under18","MeanMaxTemp","MeanMaxRelHum","MeanMinRelHum","MeanMeanAbsHum","Lat","Lat2","looic","p_loo"
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3173.36872891273,52.135649878228
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3176.86889907094,48.2320896787918
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3174.93446774642,47.7523620223308
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3175.08196638096,45.0763310803015
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3177.00627022564,47.3106642013435
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3181.33205163351,43.9560169133816
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3180.82195797645,44.0517862506834
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3179.42551872664,40.4981871289094
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3166.05067633768,47.3198385257614
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3171.8858346518,43.9766448719132
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3169.53456581525,43.53830987944
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3170.28729002108,40.7808358865275
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3168.98023241149,43.232771535531
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3174.33466974265,39.8174738396039
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3172.7757775314,39.676594141402
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3172.67332084489,36.2016816712616
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3169.85498852427,47.8012072040764
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3174.73823705815,44.3158597235519
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3170.85626829088,43.4326666276641
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3170.25426214541,39.9664663786901
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3180.81709328043,43.4118836175925
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3186.07703210106,39.6231726963895
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3182.04721092517,39.4221767990549
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3182.68893277164,36.3668708525996
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3162.17788078642,42.8679840851428
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3169.51367133707,39.8028062254199
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3165.39297462408,39.139483620799
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3166.80624955408,36.4166067479883
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3173.58883807782,39.0538935780405
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3181.27556421953,36.076891688857
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3176.59008055025,35.6800472084739
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3176.65896921895,32.1040753958627
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3167.68173458521,47.6761547102476
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3172.50293085554,44.5977917258069
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3169.78233330575,43.6657928331776
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,3169.69781196346,40.5875085119083
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3180.10667850473,43.2697416595583
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3184.41703529335,39.9251863429685
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3182.30397605025,39.2508521422537
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3183.04585069425,36.6931121276608
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3162.83770524928,43.7351243939447
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3169.49003400848,40.6195256533384
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3165.47738008644,39.581453239857
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,3166.42712096784,36.651833368463
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3177.51859363558,39.2444942132245
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3183.63248346441,35.7859779241407
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3181.39053928788,35.4786323453235
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3181.86958291508,32.4770418445001
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3162.05928033242,43.2093055373955
