"PopDensity","Under18","MeanMaxTemp","MeanMaxRelHum","MeanMinRelHum","MeanMeanAbsHum","Lat","looic","p_loo"
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3328.16074392979,42.0072133605264
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3335.76478335014,38.6484312130149
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3335.33928339758,38.4423635873274
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3337.39964665515,35.6245781722284
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3326.86873739645,38.095767710297
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3335.42477578881,35.2896734738624
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3342.7633940263,34.9723583566085
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3344.45505575572,32.2220725191857
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3335.63505954925,47.8132213321165
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3337.58198072485,42.2486222544535
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3337.55367521478,42.3804848524863
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,3338.20549992959,39.4732095282543
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3366.8466570035,43.3187815268883
FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3374.45178520052,39.154969399197
TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3372.98158399252,38.8427212454358
FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,3374.03966815356,35.5286737719049
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3327.81040148151,42.3153677604807
FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,3334.45252434675,38.5728527666795
TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3332.9968615862,38.0284058123409
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,3336.15863575507,36.1545412522335
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3370.46298108909,38.2400718742135
FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,3378.70076184468,35.200545960793
TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3376.58196237542,33.9727290844776
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3378.38697740334,31.2435306084397
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3329.0994645226,41.8740119101469
FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3339.0380699483,39.0056516180992
TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3333.01528636669,37.9182145070847
FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,3336.3537704311,35.7002572931113
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3370.50396840382,39.0021146733549
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3377.00726382108,34.890478794163
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3377.71262110994,34.7701897842508
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,3380.02003483263,32.5090974250035
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3330.19881487736,39.7478346005347
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3336.20626995518,35.1277902761125
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3334.24302227632,34.520282776889
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3336.93332380192,31.9065683260528
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3364.97393959177,33.913561646379
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3373.54818129175,30.4769364426294
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3375.6116713443,30.2779252781747
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0
