"PopDensity","Under18","MeanMaxTemp","MeanMaxRelHum","MeanMinRelHum","MeanMeanAbsHum","Lat","Lat2","looic","p_loo"
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3318.711116235,57.0635793391408
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3326.68351452687,54.754151368542
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3324.83059343468,54.1614666071782
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3324.40196117569,50.7531339351001
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3327.01131151576,54.839642595985
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3330.82140529268,50.6190522537873
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3331.17995438074,50.5088858406805
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3330.59208143035,47.2770690967345
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3317.77714074358,55.8823520328607
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3318.68514886006,49.6767131402226
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3319.64540021601,50.4456435908564
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3319.08343696215,47.12088959723
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3318.11450366044,50.6016272497353
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3324.23120302606,46.9482267477453
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3323.34912901876,46.8131281555579
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3323.05389167965,43.3405990657924
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3318.55857708732,53.5044923984777
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3326.6893619655,50.4551880854617
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3322.55776776237,50.1822055163852
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3324.00042774861,47.458009394262
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3332.42112529879,49.9780170767311
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3338.45144360943,44.9278230998967
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3334.93370464674,46.2285728371063
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3336.51298174189,42.7087087377767
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3312.04062748336,49.5622698105206
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3319.73616491079,46.3621543207154
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3315.44297551021,45.7158041119622
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3319.75231885269,44.1503117796969
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3326.82385524828,45.456996541663
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3334.91447681837,42.2156708736833
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3329.24653540769,42.0868657130365
