"PopDensity","Under18","MeanMaxTemp","MeanMaxRelHum","MeanMinRelHum","MeanMeanAbsHum","Lat","Lat2","looic","p_loo"
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3321.10579553002,58.0579160184527
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3327.52588384501,55.053929535273
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3326.89142049721,55.5838941363551
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3326.96033546964,52.5806912321024
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3324.75442284416,53.2489520194824
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3330.88191063603,50.9364177848182
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3329.95125157028,49.9024929223088
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3329.80279862247,47.0800763594268
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3314.36666548618,53.5728203955465
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3321.67012167958,51.2984606169249
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3318.60440850864,49.9116366537854
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3319.90698688775,47.3482705650207
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3316.97548207373,50.0549961402558
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3324.25043877294,47.7187609302366
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3320.98919056056,45.7745760965344
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3321.77808186928,42.6083127742817
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3319.69817469572,54.3681258022181
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3326.70470347847,50.8876488227132
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3322.18047672136,50.2560304181792
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,3322.28597281852,46.6719562477714
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3331.43751044525,49.2131371151923
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3342.33909384476,47.5275284820935
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3335.16877885677,46.5797193654519
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3336.20284983065,42.5351394409125
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3312.32226545882,49.6561929901044
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,3319.77993456183,46.0356466999657
