"PopDensity","Under18","MeanMaxTemp","MeanMaxRelHum","MeanMinRelHum","MeanMeanAbsHum","Lat","looic","p_loo"
FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,3444.67007569383,32.2195599684885
TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3441.81178908013,32.1664776448225
FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3443.20832130449,28.6453642141469
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3423.53285385787,36.668555312022
FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3427.25847325029,32.8470965203974
TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3427.23334574791,31.8809913504225
FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3430.52893940527,29.0135199213707
TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3436.13855277369,32.6401789001508
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3441.02785132206,29.5263582386819
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3439.63815140928,28.3363779215058
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3441.32242300909,25.1517255644981
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3439.125358548,44.1178441685468
FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,3441.20292846587,40.0136254418378
TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3439.39341177649,39.2213910350953
FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,3441.20658618114,35.5719528181976
TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,3447.37687318634,39.5870342754987
FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,3449.55019373287,35.7153761456335
TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3450.06769014191,35.544928899393
FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3452.44302318886,32.4056840915062
TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3447.7633339814,39.789347931074
FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,3452.12588870266,36.2602257037914
TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3451.51742040644,35.8203271808885
FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3453.88158537971,32.2848980091535
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3446.69834002504,36.0687624104024
FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3451.36621830022,32.1711214696204
TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3450.37032842168,31.487009656411
FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3453.92881771873,28.5134105751111
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3439.88565643851,39.8708358719066
FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,3442.44208807381,35.9335338173199
TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3441.61593348629,35.6391124214176
FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3445.19019845777,32.5767341542816
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3448.47624300636,36.0912263612133
FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3449.8540111112,31.7711859010092
TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3448.2098610759,31.2844945987869
FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,3449.15058706406,28.3576882089779
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3450.9048713522,35.554586036095
FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3455.41471450976,32.1655065149488
TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3455.958364025,31.1661375662162
FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,3458.91275565633,28.2295163890578
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3457.58888820149,32.7775288485502
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3460.41039712455,29.0309912824156
TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3470.08647658735,27.9601209305545
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3469.1081973246,25.174154765386
TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3453.69152204208,39.3212402546066
FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3457.6102596021,36.0932946870106
